搜索城市,搜索词,名称,地址,点评数量,详情url
南京,休闲,南京欢乐谷,江苏省南京市栖霞区经济技术开发区欢乐谷北路8号,17条点评,https://map.qq.com/poi/?sm=4493274046127196761&keyfrom=1
南京,休闲,MIU(环亚凯瑟琳广场店),江苏省南京市玄武区北京东路1号环亚凯瑟琳广场F1,15条点评,https://map.qq.com/poi/?sm=13435935950955617700&keyfrom=1
南京,休闲,荔枝大剧院(荔枝广场店),江苏省南京市玄武区北京东路2号荔枝广场F3,15条点评,https://map.qq.com/poi/?sm=1598812804436955475&keyfrom=1
南京,休闲,温莎KTV(珠江路店),江苏省南京市玄武区珠江路600号谷阳世纪大厦1-3层,15条点评,https://map.qq.com/poi/?sm=8498818044324096445&keyfrom=1
南京,休闲,珠影影城(新世界百货店),江苏省南京市玄武区珠江路88号新世界百货F5,15条点评,https://map.qq.com/poi/?sm=15356540167836948194&keyfrom=1
南京,休闲,BOILING100° CLUB,江苏省南京市玄武区碑亭巷杨将军巷9号曼度文化广场2层,15条点评,https://map.qq.com/poi/?sm=17900537433607347551&keyfrom=1
南京,休闲,紫金大剧院,江苏省南京市秦淮区小火瓦巷20号,16条点评,https://map.qq.com/poi/?sm=13082463756668270128&keyfrom=1
南京,休闲,华昌龙之谷,江苏省南京市浦口区龙谷路9号,2条点评,https://map.qq.com/poi/?sm=4277037402882409966&keyfrom=1
南京,休闲,Helens海伦司小酒馆(南京1912店),江苏省南京市玄武区长江路288号1912街区A区7号楼(下沉式广场-1层),,https://map.qq.com/poi/?sm=5367282291615983036&keyfrom=1
南京,休闲,新街口国际影城(德基广场店),江苏省南京市玄武区中山路18号德基广场F7-F710,15条点评,https://map.qq.com/poi/?sm=9775397992325068665&keyfrom=1
南京,休闲,红山游乐场,江苏省南京市玄武区和燕路167号,15条点评,https://map.qq.com/poi/?sm=10840509031046874505&keyfrom=1
南京,休闲,万达影城(印象汇店),江苏省南京市秦淮区洪武路88号印象汇F4,15条点评,https://map.qq.com/poi/?sm=17172617949887046655&keyfrom=1
南京,休闲,光阳大舞台人民剧院,江苏省南京市秦淮区太平南路杨公井25号,15条点评,https://map.qq.com/poi/?sm=6265768727993538501&keyfrom=1
南京,休闲,启龙亲江乐园·兔布洛亲子乐园,江苏省南京市浦口区滨江大道与潜龙路交叉路口启龙亲江乐园内,15条点评,https://map.qq.com/poi/?sm=1481291454705022885&keyfrom=1
南京,休闲,Helens海伦司(南京洪武路店),江苏省南京市秦淮区洪武路199号长发银座2楼,15条点评,https://map.qq.com/poi/?sm=1619272399793992420&keyfrom=1
南京,休闲,HUB·STATION SWAG CLUB,江苏省南京市秦淮区莫愁路329号越界梦幻城34号楼,15条点评,https://map.qq.com/poi/?sm=8616028199269182866&keyfrom=1
南京,休闲,微麦KTV,江苏省南京市鼓楼区云南北路49号天星翠琅大厦2-3层,15条点评,https://map.qq.com/poi/?sm=4440494894273521173&keyfrom=1
南京,休闲,南京市·TIME·PARTY·KTV,江苏省南京市玄武区龙蟠中路88号,14条点评,https://map.qq.com/poi/?sm=1876438109681540948&keyfrom=1
南京,休闲,风云再起动漫中心(新街口天丰大厦店),江苏省南京市秦淮区洪武路辅路与新街口步行街交叉口正北方向110米左右,15条点评,https://map.qq.com/poi/?sm=17512837876228614014&keyfrom=1
南京,休闲,魅KTV(南京总统府1912店),江苏省南京市玄武区长江路288号(浮桥地铁站3A口步行490米),15条点评,https://map.qq.com/poi/?sm=6589685160979466441&keyfrom=1
南京,休闲,南京浅深休闲会所(南京店),江苏省南京市玄武区中山东路311-1号(近地铁2号线明故宫站),15条点评,https://map.qq.com/poi/?sm=17555128401663822665&keyfrom=1
南京,休闲,南京前线大剧院,江苏省南京市玄武区中山门大街卫岗55号,15条点评,https://map.qq.com/poi/?sm=3733493546871218291&keyfrom=1
