搜索城市,搜索词,名称,地址,点评数量,详情url
南京,酒店,7天酒店(新7天南京火车站新模范马路地铁站店),"江苏省南京市玄武区中央路280-1号(地铁1号线新模范马路2号出口往北行300米,许府巷公交站对面)",,https://map.qq.com/poi/?sm=6177044980696582089&keyfrom=1
南京,酒店,苏宁环球套房饭店,江苏省南京市鼓楼区广州路188号(近南京儿童医院),,https://map.qq.com/poi/?sm=7298206639032928636&keyfrom=1
南京,酒店,金陵状元楼大酒店,江苏省南京市秦淮区夫子庙状元境9号,,https://map.qq.com/poi/?sm=1747052881355546461&keyfrom=1
南京,酒店,南京古南都饭店,江苏省南京市鼓楼区广州路208号,,https://map.qq.com/poi/?sm=10628955707467351882&keyfrom=1
南京,酒店,南京维景国际大酒店,江苏省南京市玄武区中山东路319号,,https://map.qq.com/poi/?sm=963850184149251981&keyfrom=1
南京,酒店,探花楼酒店(南京夫子庙秦淮河畔店),江苏省南京市秦淮区长乐路72号,,https://map.qq.com/poi/?sm=16299455168195348753&keyfrom=1
南京,酒店,江苏议事园酒店,"江苏省南京市鼓楼区中山北路81号(大方巷路口旁,近军人俱乐部)",,https://map.qq.com/poi/?sm=1596985302571629122&keyfrom=1
南京,酒店,汉庭酒店(南京苜蓿园大街店),"江苏省南京市秦淮区苜蓿园大街165号(北京华联超市旁,距中山陵2.3公里)",,https://map.qq.com/poi/?sm=9577606829209053737&keyfrom=1
南京,酒店,汉庭酒店(南京火车站南广场店),江苏省南京市玄武区龙蟠路湖景花园1号门市,,https://map.qq.com/poi/?sm=14162196365687794793&keyfrom=1
南京,酒店,南京金陵之星大酒店,"江苏省南京市玄武区龙蟠路169号(近国展中心,钟山风景区)",,https://map.qq.com/poi/?sm=18000712318363596676&keyfrom=1
南京,酒店,桔子南京新街口张府园地铁站酒店,江苏省南京市秦淮区中山南路288号苏贸大厦,,https://map.qq.com/poi/?sm=2041041663094022876&keyfrom=1
南京,酒店,南京金太隆国际酒店,江苏省南京市秦淮区中山东路160号(近洪武北路),,https://map.qq.com/poi/?sm=1142875798813207069&keyfrom=1
南京,酒店,金陵饭店(汉中路店),江苏省南京市鼓楼区汉中路2号,,https://map.qq.com/poi/?sm=11233740543694536689&keyfrom=1
南京,酒店,城市名人酒店(名人城市广场),江苏省南京市鼓楼区中山北路30号,,https://map.qq.com/poi/?sm=16062057922324895822&keyfrom=1
南京,酒店,南京天丰大酒店,江苏省南京市秦淮区洪武路26号,,https://map.qq.com/poi/?sm=8871062461514043654&keyfrom=1
南京,酒店,华江饭店,江苏省南京市鼓楼区中山北路178号,,https://map.qq.com/poi/?sm=13948204645582605902&keyfrom=1
南京,酒店,凤凰台饭店,江苏省南京市鼓楼区湖南路47号,,https://map.qq.com/poi/?sm=3216990330788006155&keyfrom=1
南京,酒店,南京西康宾馆,江苏省南京市鼓楼区西康路33号,,https://map.qq.com/poi/?sm=5310451646433928954&keyfrom=1
南京,酒店,南京汉府饭店,江苏省南京市玄武区长江路262号(大行宫地铁站6号口步行360米),,https://map.qq.com/poi/?sm=4992973791995137645&keyfrom=1
南京,酒店,孜图酒店(南京明故宫店),江苏省南京市秦淮区瑞金路52号(近南京航空航天大学明故宫校区),,https://map.qq.com/poi/?sm=4049845361825544692&keyfrom=1
