搜索城市,搜索词,名称,地址,点评数量,详情url
南京,酒店,南京新纪元大酒店,"江苏省南京市鼓楼区中山路251号-1(鼓楼医院对面,近1号线珠江路地铁站3号出口)",,https://map.qq.com/poi/?sm=3089266746064112996&keyfrom=1
南京,酒店,汉庭酒店(南京新街口大行宫地铁站店),江苏省南京市秦淮区中山东路136号(大行宫地铁站2号口步行410米),,https://map.qq.com/poi/?sm=14915479311129550610&keyfrom=1
南京,酒店,南京东方珍珠voco酒店,江苏省南京市玄武区珠江路389号(地铁3号线浮桥站2号出口即到),,https://map.qq.com/poi/?sm=11195627117756609057&keyfrom=1
南京,酒店,金鹰珠江壹号国际酒店(金鹰国际中心珠江路店),江苏省南京市玄武区珠江路1号金鹰国际中心(珠江路店)F2,,https://map.qq.com/poi/?sm=16737017729873752150&keyfrom=1
南京,酒店,九华饭店,江苏省南京市玄武区北京东路77号,,https://map.qq.com/poi/?sm=15874407461938723318&keyfrom=1
南京,酒店,汉庭优佳酒店(南京中山东路总统府店),江苏省南京市秦淮区中山东路416号物资大厦1层,,https://map.qq.com/poi/?sm=4820716921396172773&keyfrom=1
南京,酒店,中心大酒店,江苏省南京市鼓楼区中山路75号,,https://map.qq.com/poi/?sm=12318210838513519144&keyfrom=1
南京,酒店,南京金茂威斯汀大酒店,江苏省南京市鼓楼区中央路201号,,https://map.qq.com/poi/?sm=5486938684909157532&keyfrom=1
南京,酒店,南京东南大学榴园宾馆(玄武湖店),江苏省南京市玄武区进香河路38号(近东南大学西门),,https://map.qq.com/poi/?sm=10534443604847588232&keyfrom=1
南京,酒店,南京中山大厦,江苏省南京市玄武区中山路200号(珠江路地铁站4号口步行190米),,https://map.qq.com/poi/?sm=3828523564565868766&keyfrom=1
南京,酒店,南京凤凰京华大酒店,"江苏省南京市鼓楼区山西路51号(区政府斜对面,近玄武门地铁站)",,https://map.qq.com/poi/?sm=4358168670497840639&keyfrom=1
南京,酒店,全季酒店(新街口店),江苏省南京市秦淮区淮海路50号,,https://map.qq.com/poi/?sm=2971888631163731600&keyfrom=1
南京,酒店,南京世纪缘湖滨花园酒店(太阳宫店),江苏省南京市玄武区太平门阳光路3号,,https://map.qq.com/poi/?sm=3427028608614349249&keyfrom=1
南京,酒店,汉庭酒店(南京新街口常府街地铁站店),"江苏省南京市秦淮区常府街39号(地铁3号线常府街站4号出口东500米,地铁2号线西安门站3号口出南800米)",,https://map.qq.com/poi/?sm=8410035479171702821&keyfrom=1
南京,酒店,格林豪泰南京中央门火车站快捷酒店,江苏省南京市鼓楼区建宁路16号-6栋(金桥市场与河图文化广场之间),,https://map.qq.com/poi/?sm=13821189539631216538&keyfrom=1
南京,酒店,南京黄埔大酒店,江苏省南京市玄武区黄埔路2-2号,,https://map.qq.com/poi/?sm=6447509953444662598&keyfrom=1
南京,酒店,南京金鹰国仕达酒店(新街口德基广场店),江苏省南京市鼓楼区管家桥36号,,https://map.qq.com/poi/?sm=11005861475522224015&keyfrom=1
